id,title,context,question,answers
0,Subjects offered,"""At our afterschool tuition center, we offer tutoring in English, Mathematics, Chemistry, Biology, and Physics to help students excel in their academic journey.""",What subjects do you offer tutoring in,"English, Mathematics, Chemistry, Biology, and Physics"
1,Subjects offered,"""Our dedicated teachers specialize in providing coaching for core subjects such as English, Maths, and Science. We aim to boost both knowledge and confidence.""",Which core subjects are available at your centre,"English, Maths, and Science"
2,Subjects offered,"""Students at our academy can enroll for support classes in English Literature, Advanced Mathematics, Chemistry, and Physics. We cater to both primary and secondary students.""",Which academic subjects do you provide support for,"English Literature, Advanced Mathematics, Chemistry, and Physics"
3,Subjects offered,"""Our afterschool programs include Mathematics tutoring, English writing workshops, and Science exam preparation. We focus on academic excellence and critical thinking.""",Which programs and subjcets are included in your tutoring,"Mathematics tutoring, English writing workshops, and Science exam preparation"
4,Subjects offered,"""We provide specialist tutoring services in Chemistry, Biology, Physics, English Language, and Mathematics. Personalized learning plans are designed for each student.""",What tutoring services do you offer in terms of subjects,"Chemistry, Biology, Physics, English Language, and Mathematics"
5,Subjects offered,"""We teach English, Mathematics, Chemistry, Biology, and Physics.""",What do you teach?,"English, Mathematics, Chemistry, Biology, and Physics"
6,class size,"we offer One-to-One tutoring which allows us to customise the learning experience to each student’s unique needs, provide tailored support and boost confidence",Do you offer personal tutoring?,we offer One-to-One tutoring
7,class size,"we offer One-to-One tutoring which allows us to customise the learning experience to each student’s unique needs, provide tailored support and boost confidence",Do you do one on one tutoring?,we offer One-to-One tutoring
8,class type,"At Master Coaching Hurstville, we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam. The OC exam is broken down into 3 parts; Thinking skills, mathematical reasoning and reading comprehension. In our OC preparation program, students will learn and develop a strong conceptual understanding of all key concepts in Maths, English and Thinking skills. Students will receive one on one support where our skilful tutor will cater to each students weakness and work along with them to perform their best. Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence.",Do you offer OC class?,we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam
9,class type,"At Master Coaching Hurstville, we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam. The OC exam is broken down into 3 parts; Thinking skills, mathematical reasoning and reading comprehension. In our OC preparation program, students will learn and develop a strong conceptual understanding of all key concepts in Maths, English and Thinking skills. Students will receive one on one support where our skilful tutor will cater to each students weakness and work along with them to perform their best. Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence.",Do you offer OC class preparation?,we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam
10,class type,"At Master Coaching Hurstville, we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam. The OC exam is broken down into 3 parts; Thinking skills, mathematical reasoning and reading comprehension. In our OC preparation program, students will learn and develop a strong conceptual understanding of all key concepts in Maths, English and Thinking skills. Students will receive one on one support where our skilful tutor will cater to each students weakness and work along with them to perform their best. Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence.",What's a class layout look like?,"Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence."
11,class type,"At Master Coaching Hurstville, we offer extensive Opportunity Class (OC) preparation courses that build fundamental core skills needed in partaking in the exam. The OC exam is broken down into 3 parts; Thinking skills, mathematical reasoning and reading comprehension. In our OC preparation program, students will learn and develop a strong conceptual understanding of all key concepts in Maths, English and Thinking skills. Students will receive one on one support where our skilful tutor will cater to each students weakness and work along with them to perform their best. Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence.",What happens in a class,"Each week we provide mock exams for students to practice the test under exam conditions and will then receive detailed feedback on where to improve. Tutors will also go through each question in a detailed manner and ensures to keep up with the student’s pace, ensuring they do not fall behind and motivate them to excel and build confidence."
